TABLE  ,LTM_Filter_n1.5_to_Air,,,,
WAVE,0.74,0.12019,0.13083,1.44E-14,2.36E-14
WAVE,0.76,0.13058,0.14141,2.94E-14,4.79E-14
WAVE,0.78,0.13993,0.15082,7.15E-14,1.16E-13
WAVE,0.8,0.14694,0.15771,2.15E-13,3.47E-13
WAVE,0.82,0.15402,0.16493,5.92E-13,9.54E-13
WAVE,0.84,0.1622,0.17337,1.46E-12,2.34E-12
WAVE,0.86,0.17117,0.18274,3.16E-12,5.07E-12
WAVE,0.88,0.18094,0.19321,5.70E-12,9.14E-12
WAVE,0.9,0.19246,0.20575,7.43E-12,1.19E-11
WAVE,0.92,0.20507,0.21955,8.25E-12,1.33E-11
WAVE,0.94,0.21959,0.23556,6.15E-12,9.90E-12
WAVE,0.96,0.23354,0.25086,4.64E-12,7.48E-12
WAVE,0.98,0.24581,0.26413,3.55E-12,5.73E-12
WAVE,1,0.2579,0.27714,2.86E-12,4.60E-12
ANGL,30,,,,
WAVE,0.3,0.25524,0.48976,2.58E-14,7.85E-14
WAVE,0.32,0.10143,0.28319,1.64E-14,5.68E-14
WAVE,0.34,0.036728,0.15678,1.16E-14,4.28E-14
WAVE,0.36,0.012454,0.089417,8.34E-15,3.14E-14
WAVE,0.38,0.0071053,0.058697,7.03E-15,2.66E-14
WAVE,0.4,0.0085003,0.040412,5.80E-15,2.20E-14
WAVE,0.42,0.013935,0.031205,4.88E-15,1.86E-14
WAVE,0.44,0.020633,0.02769,4.24E-15,1.62E-14
WAVE,0.46,0.02605,0.025936,3.72E-15,1.42E-14
WAVE,0.48,0.029422,0.024072,3.19E-15,1.22E-14
WAVE,0.5,0.029998,0.022534,2.96E-15,1.12E-14
WAVE,0.52,0.030994,0.023126,2.73E-15,1.03E-14
WAVE,0.54,0.029734,0.022407,2.63E-15,9.90E-15
WAVE,0.56,0.031226,0.026725,2.53E-15,9.43E-15
WAVE,0.58,0.036368,0.036764,2.68E-15,9.91E-15
WAVE,0.6,0.044994,0.050508,2.96E-15,1.08E-14
WAVE,0.62,0.056913,0.067228,3.20E-15,1.16E-14
WAVE,0.64,0.071817,0.085764,3.59E-15,1.29E-14
WAVE,0.66,0.087777,0.10483,4.06E-15,1.44E-14
WAVE,0.68,0.10407,0.12367,4.40E-15,1.55E-14
WAVE,0.7,0.11941,0.14111,5.07E-15,1.77E-14
WAVE,0.72,0.13375,0.15709,6.21E-15,2.15E-14
