TABLE  ,LTM_Filter,,,,
WAVE,0.7,0.0094207,0.010678,2.54E-08,2.95E-08
WAVE,0.72,0.011984,0.013778,2.82E-08,3.27E-08
WAVE,0.74,0.015181,0.017306,3.62E-08,4.17E-08
WAVE,0.76,0.018777,0.021011,5.20E-08,6.00E-08
WAVE,0.78,0.022599,0.024816,7.91E-08,9.15E-08
WAVE,0.8,0.026409,0.028331,1.42E-07,1.64E-07
WAVE,0.82,0.03005,0.031684,2.50E-07,2.87E-07
WAVE,0.84,0.033874,0.035359,3.85E-07,4.44E-07
WAVE,0.86,0.037891,0.039314,5.78E-07,6.68E-07
WAVE,0.88,0.04195,0.043393,7.98E-07,9.21E-07
WAVE,0.9,0.046494,0.048135,9.81E-07,1.13E-06
WAVE,0.92,0.05164,0.053577,1.01E-06,1.16E-06
WAVE,0.94,0.05786,0.060249,9.03E-07,1.04E-06
WAVE,0.96,0.064501,0.067288,7.51E-07,8.68E-07
WAVE,0.98,0.071146,0.074193,6.53E-07,7.55E-07
WAVE,1,0.078139,0.081423,6.14E-07,7.07E-07
,,,,,
,,,,,
ANGL,30,,,,
WAVE,0.3,0.52803,0.64779,3.86E-07,4.61E-07
WAVE,0.32,0.12845,0.25413,2.67E-07,3.70E-07
WAVE,0.34,0.01689,0.057451,1.56E-07,2.35E-07
WAVE,0.36,0.0081082,0.0072928,9.65E-08,1.47E-07
WAVE,0.38,0.014916,7.86E-05,7.24E-08,1.09E-07
WAVE,0.4,0.021055,0.0035086,5.22E-08,7.88E-08
WAVE,0.42,0.021493,0.0071752,4.16E-08,6.18E-08
WAVE,0.44,0.017581,0.0088212,3.49E-08,5.07E-08
WAVE,0.46,0.011737,0.0086959,2.88E-08,4.16E-08
WAVE,0.48,0.0069824,0.0082992,2.44E-08,3.49E-08
WAVE,0.5,0.0048231,0.0079754,2.13E-08,3.04E-08
WAVE,0.52,0.0059474,0.0087626,1.95E-08,2.76E-08
WAVE,0.54,0.0098822,0.010456,1.78E-08,2.53E-08
WAVE,0.56,0.012746,0.010858,1.66E-08,2.37E-08
WAVE,0.58,0.01265,0.0093037,1.78E-08,2.49E-08
WAVE,0.6,0.011523,0.0078066,1.86E-08,2.60E-08
WAVE,0.62,0.010237,0.0071728,1.88E-08,2.64E-08
WAVE,0.64,0.0098317,0.0082379,2.00E-08,2.79E-08
WAVE,0.66,0.010317,0.010503,2.19E-08,3.04E-08
WAVE,0.68,0.011901,0.013913,2.19E-08,3.05E-08
WAVE,0.7,0.014319,0.01789,2.45E-08,3.37E-08
WAVE,0.72,0.017413,0.022268,2.70E-08,3.70E-08
WAVE,0.74,0.021333,0.026937,3.25E-08,4.48E-08
WAVE,0.76,0.025789,0.031584,4.63E-08,6.39E-08
WAVE,0.78,0.030511,0.036186,7.72E-08,1.05E-07
WAVE,0.8,0.035308,0.040198,1.30E-07,1.78E-07
WAVE,0.82,0.039846,0.043975,2.19E-07,3.00E-07
WAVE,0.84,0.044469,0.048168,3.52E-07,4.83E-07
WAVE,0.86,0.049222,0.0527,5.53E-07,7.51E-07
WAVE,0.88,0.053945,0.0574,7.52E-07,1.03E-06
WAVE,0.9,0.059092,0.062947,9.02E-07,1.22E-06
WAVE,0.92,0.064828,0.069305,9.20E-07,1.26E-06
WAVE,0.94,0.071645,0.077102,8.29E-07,1.13E-06
WAVE,0.96,0.078908,0.085205,6.94E-07,9.55E-07
WAVE,0.98,0.086198,0.093007,6.43E-07,8.72E-07
WAVE,1,0.093835,0.10109,5.46E-07,7.50E-07
,,,,,
,,,,,
ANGL,40,,,,
WAVE,0.3,0.22228,0.48559,3.08E-07,4.63E-07
WAVE,0.32,0.027511,0.16143,1.70E-07,3.24E-07
WAVE,0.34,0.016632,0.035191,1.02E-07,2.10E-07
WAVE,0.36,0.026762,0.0044038,6.50E-08,1.35E-07
WAVE,0.38,0.03357,0.00015375,5.01E-08,1.02E-07
WAVE,0.4,0.033632,0.0028817,4.03E-08,7.95E-08
WAVE,0.42,0.027443,0.0065204,3.33E-08,6.38E-08
WAVE,0.44,0.018475,0.0093576,2.80E-08,5.25E-08
WAVE,0.46,0.009757,0.011119,2.34E-08,4.36E-08
WAVE,0.48,0.0044456,0.012622,2.03E-08,3.72E-08
WAVE,0.5,0.0038254,0.013348,1.86E-08,3.36E-08
WAVE,0.52,0.0073881,0.014509,1.62E-08,2.96E-08
WAVE,0.54,0.014526,0.015685,1.53E-08,2.78E-08
WAVE,0.56,0.019785,0.015567,1.52E-08,2.72E-08
WAVE,0.58,0.020931,0.014031,1.54E-08,2.75E-08
WAVE,0.6,0.020407,0.013223,1.53E-08,2.79E-08
WAVE,0.62,0.019359,0.013961,1.70E-08,3.01E-08
WAVE,0.64,0.019182,0.017089,1.80E-08,3.17E-08
WAVE,0.66,0.019995,0.021658,1.95E-08,3.39E-08
WAVE,0.68,0.022129,0.027475,1.91E-08,3.39E-08
WAVE,0.7,0.025324,0.033692,2.17E-08,3.74E-08
WAVE,0.72,0.029372,0.040125,2.40E-08,4.11E-08
WAVE,0.74,0.034524,0.04653,2.94E-08,5.05E-08
WAVE,0.76,0.0404,0.052529,4.11E-08,7.12E-08
WAVE,0.78,0.04658,0.058212,6.65E-08,1.14E-07
WAVE,0.8,0.052945,0.062819,1.19E-07,2.02E-07
WAVE,0.82,0.058899,0.0671,2.00E-07,3.42E-07
WAVE,0.84,0.064772,0.07193,3.18E-07,5.43E-07
WAVE,0.86,0.070667,0.077181,4.99E-07,8.42E-07
WAVE,0.88,0.076417,0.082685,7.01E-07,1.18E-06
WAVE,0.9,0.082489,0.089305,7.76E-07,1.33E-06
WAVE,0.92,0.089121,0.096883,8.80E-07,1.48E-06
WAVE,0.94,0.096831,0.10618,7.32E-07,1.25E-06
WAVE,0.96,0.10501,0.11566,6.71E-07,1.12E-06
WAVE,0.98,0.11323,0.12455,5.77E-07,9.74E-07
WAVE,1,0.12179,0.13364,5.17E-07,8.70E-07
,,,,,
,,,,,
ANGL,50,,,,
WAVE,0.3,0.044344,0.34737,1.86E-07,4.17E-07
WAVE,0.32,0.036128,0.11629,9.98E-08,2.79E-07
WAVE,0.34,0.055487,0.02977,6.37E-08,1.87E-07
WAVE,0.36,0.058797,0.0050513,4.51E-08,1.29E-07
WAVE,0.38,0.055991,1.86E-05,3.64E-08,1.02E-07
WAVE,0.4,0.045102,0.0029264,3.00E-08,8.06E-08
WAVE,0.42,0.029866,0.0090668,2.55E-08,6.57E-08
WAVE,0.44,0.015209,0.015691,2.17E-08,5.46E-08
WAVE,0.46,0.0045578,0.021345,1.93E-08,4.68E-08
WAVE,0.48,0.00093256,0.025924,1.68E-08,3.99E-08
WAVE,0.5,0.0049225,0.027866,1.48E-08,3.55E-08
WAVE,0.52,0.013795,0.029312,1.38E-08,3.27E-08
WAVE,0.54,0.027059,0.029407,1.35E-08,3.16E-08
WAVE,0.56,0.036583,0.028758,1.21E-08,2.93E-08
WAVE,0.58,0.039934,0.027965,1.30E-08,3.07E-08
WAVE,0.6,0.040573,0.029048,1.39E-08,3.25E-08
WAVE,0.62,0.04012,0.032658,1.47E-08,3.39E-08
WAVE,0.64,0.0405,0.039466,1.46E-08,3.47E-08
WAVE,0.66,0.042014,0.047835,1.60E-08,3.73E-08
WAVE,0.68,0.04516,0.057351,1.71E-08,3.88E-08
WAVE,0.7,0.049679,0.066824,1.90E-08,4.21E-08
WAVE,0.72,0.055277,0.076078,2.07E-08,4.59E-08
WAVE,0.74,0.062334,0.084686,2.53E-08,5.65E-08
WAVE,0.76,0.070336,0.09224,3.57E-08,8.03E-08
WAVE,0.78,0.078651,0.099046,5.72E-08,1.27E-07
WAVE,0.8,0.087262,0.10409,1.00E-07,2.23E-07
WAVE,0.82,0.095221,0.10873,1.74E-07,3.82E-07
WAVE,0.84,0.10284,0.1141,2.90E-07,6.25E-07
