0.66,0.064359,0.071689,6.2338e-15,1.0356e-14
0.68,0.079653,0.088115,6.7059e-15,1.11e-14
0.7,0.094253,0.10368,7.6658e-15,1.2642e-14
0.72,0.10802,0.11822,9.3167e-15,1.5303e-14
0.74,0.12019,0.13083,1.4429e-14,2.3597e-14
0.76,0.13058,0.14141,2.942e-14,4.7901e-14
0.78,0.13993,0.15082,7.1515e-14,1.1594e-13
0.8,0.14694,0.15771,2.1477e-13,3.4666e-13
0.82,0.15402,0.16493,5.9245e-13,9.5362e-13
0.84,0.1622,0.17337,1.4568e-12,2.3396e-12
0.86,0.17117,0.18274,3.1643e-12,5.0743e-12
0.88,0.18094,0.19321,5.7034e-12,9.1443e-12
0.9,0.19246,0.20575,7.4333e-12,1.1927e-11
0.92,0.20507,0.21955,8.2479e-12,1.3251e-11
0.94,0.21959,0.23556,6.1529e-12,9.9048e-12
0.96,0.23354,0.25086,4.6438e-12,7.4846e-12
0.98,0.24581,0.26413,3.554e-12,5.7273e-12
1,0.2579,0.27714,2.8579e-12,4.6042e-12
30,30,30,30,30
30,30,30,30,30
30,30,30,30,30
0.3,0.25524,0.48976,2.5794e-14,7.8542e-14
0.32,0.10143,0.28319,1.6383e-14,5.6815e-14
0.34,0.036728,0.15678,1.1643e-14,4.2799e-14
0.36,0.012454,0.089417,8.3446e-15,3.1416e-14
0.38,0.0071053,0.058697,7.0292e-15,2.6603e-14
0.4,0.0085003,0.040412,5.7971e-15,2.2037e-14
0.42,0.013935,0.031205,4.8846e-15,1.862e-14
0.44,0.020633,0.02769,4.2367e-15,1.6163e-14
0.46,0.02605,0.025936,3.7165e-15,1.4172e-14
0.48,0.029422,0.024072,3.1938e-15,1.217e-14
0.5,0.029998,0.022534,2.9582e-15,1.1234e-14
0.52,0.030994,0.023126,2.7271e-15,1.0309e-14
0.54,0.029734,0.022407,2.6321e-15,9.8993e-15
0.56,0.031226,0.026725,2.5265e-15,9.431e-15
0.58,0.036368,0.036764,2.6819e-15,9.9103e-15
0.6,0.044994,0.050508,2.962e-15,1.0831e-14
0.62,0.056913,0.067228,3.1968e-15,1.1572e-14
