TABLE  ,LTM_Filter,,,,
WAVE,0.74,0.11352,0.096859,2.91E-08,4.19E-08
WAVE,0.76,0.11925,0.10366,4.36E-08,6.19E-08
WAVE,0.78,0.12441,0.10976,6.52E-08,9.35E-08
WAVE,0.8,0.12815,0.1142,1.22E-07,1.72E-07
WAVE,0.82,0.13138,0.11814,2.06E-07,2.89E-07
WAVE,0.84,0.13515,0.1227,3.28E-07,4.62E-07
WAVE,0.86,0.13932,0.12771,5.13E-07,7.16E-07
WAVE,0.88,0.14362,0.13296,6.63E-07,9.40E-07
WAVE,0.9,0.14887,0.13939,7.85E-07,1.11E-06
WAVE,0.92,0.15492,0.14673,8.31E-07,1.18E-06
WAVE,0.94,0.16235,0.15571,7.33E-07,1.03E-06
WAVE,0.96,0.16971,0.16459,6.21E-07,8.82E-07
WAVE,0.98,0.17625,0.17251,5.77E-07,8.06E-07
WAVE,1,0.18289,0.18049,4.95E-07,6.98E-07
,,,,,
,,,,,
ANGL,30,,,,
WAVE,0.3,0.14846,0.39667,1.81E-07,4.01E-07
WAVE,0.32,0.052108,0.16233,1.05E-07,2.72E-07
WAVE,0.34,0.033589,0.055741,6.74E-08,1.82E-07
WAVE,0.36,0.038717,0.017207,4.71E-08,1.27E-07
WAVE,0.38,0.046845,0.0045506,3.89E-08,1.02E-07
WAVE,0.4,0.063722,0.0063725,2.95E-08,7.86E-08
WAVE,0.42,0.083265,0.01559,2.53E-08,6.51E-08
WAVE,0.44,0.10103,0.02684,2.01E-08,5.29E-08
WAVE,0.46,0.11551,0.037204,1.79E-08,4.57E-08
WAVE,0.48,0.12684,0.045688,1.49E-08,3.83E-08
WAVE,0.5,0.13132,0.049576,1.35E-08,3.44E-08
WAVE,0.52,0.13298,0.051726,1.27E-08,3.19E-08
WAVE,0.54,0.13177,0.051475,1.20E-08,2.99E-08
WAVE,0.56,0.1275,0.050126,1.12E-08,2.82E-08
WAVE,0.58,0.12128,0.048928,1.23E-08,2.97E-08
WAVE,0.6,0.11692,0.050257,1.23E-08,3.03E-08
WAVE,0.62,0.11558,0.054751,1.33E-08,3.19E-08
WAVE,0.64,0.1188,0.063066,1.38E-08,3.33E-08
WAVE,0.66,0.12396,0.073036,1.47E-08,3.53E-08
WAVE,0.68,0.13067,0.084111,1.64E-08,3.76E-08
WAVE,0.7,0.13739,0.09488,1.68E-08,3.93E-08
WAVE,0.72,0.14394,0.10517,1.84E-08,4.29E-08
WAVE,0.74,0.15026,0.11451,2.30E-08,5.32E-08
WAVE,0.76,0.15585,0.12248,3.34E-08,7.64E-08
WAVE,0.78,0.16084,0.12948,5.32E-08,1.20E-07
WAVE,0.8,0.1643,0.1344,9.31E-08,2.10E-07
WAVE,0.82,0.16725,0.13887,1.71E-07,3.69E-07
WAVE,0.84,0.1708,0.14411,2.58E-07,5.74E-07
WAVE,0.86,0.17478,0.14991,3.91E-07,8.69E-07
WAVE,0.88,0.17888,0.15614,5.73E-07,1.23E-06
WAVE,0.9,0.18393,0.1639,6.32E-07,1.40E-06
WAVE,0.92,0.18979,0.17276,6.87E-07,1.51E-06
WAVE,0.94,0.19703,0.18364,6.05E-07,1.32E-06
WAVE,0.96,0.20418,0.19432,5.11E-07,1.14E-06
WAVE,0.98,0.21047,0.20379,4.81E-07,1.03E-06
WAVE,1,0.21687,0.21325,4.03E-07,8.89E-07
,,,,,
,,,,,
ANGL,40,,,,
WAVE,0.3,0.034869,0.16331,5.78E-08,3.24E-07
WAVE,0.32,0.056355,0.047264,3.74E-08,2.22E-07
WAVE,0.34,0.079718,0.0081734,2.77E-08,1.63E-07
WAVE,0.36,0.099732,5.38E-05,2.10E-08,1.22E-07
WAVE,0.38,0.11547,0.0036828,1.76E-08,1.02E-07
WAVE,0.4,0.13645,0.012948,1.55E-08,8.60E-08
WAVE,0.42,0.15708,0.024239,1.27E-08,7.23E-08
WAVE,0.44,0.17383,0.034739,1.13E-08,6.29E-08
WAVE,0.46,0.18577,0.04251,1.06E-08,5.60E-08
WAVE,0.48,0.19373,0.047309,8.70E-09,4.86E-08
WAVE,0.5,0.19441,0.047986,8.13E-09,4.50E-08
WAVE,0.52,0.19322,0.048614,7.90E-09,4.22E-08
WAVE,0.54,0.18884,0.046622,7.43E-09,4.03E-08
WAVE,0.56,0.18303,0.046949,7.48E-09,3.93E-08
WAVE,0.58,0.17655,0.05044,8.42E-09,4.10E-08
WAVE,0.6,0.17244,0.057342,8.90E-09,4.31E-08
WAVE,0.62,0.1716,0.067568,9.55E-09,4.50E-08
WAVE,0.64,0.17556,0.08102,9.55E-09,4.73E-08
WAVE,0.66,0.18124,0.095512,1.02E-08,5.02E-08
WAVE,0.68,0.18829,0.11042,1.10E-08,5.22E-08
WAVE,0.7,0.19506,0.12435,1.28E-08,5.64E-08
WAVE,0.72,0.20145,0.13722,1.33E-08,6.13E-08
WAVE,0.74,0.2075,0.14833,1.67E-08,7.62E-08
WAVE,0.76,0.21273,0.15737,2.59E-08,1.10E-07
WAVE,0.78,0.21731,0.16506,4.23E-08,1.73E-07
WAVE,0.8,0.2203,0.17013,7.15E-08,3.02E-07
WAVE,0.82,0.2228,0.17496,1.22E-07,5.12E-07
WAVE,0.84,0.22596,0.1808,1.91E-07,8.18E-07
WAVE,0.86,0.2296,0.1874,3.13E-07,1.25E-06
WAVE,0.88,0.23335,0.19486,4.03E-07,1.71E-06
WAVE,0.9,0.23806,0.20444,4.73E-07,2.00E-06
WAVE,0.92,0.24357,0.21546,5.37E-07,2.17E-06
WAVE,0.94,0.25046,0.22915,4.40E-07,1.87E-06
WAVE,0.96,0.25723,0.24242,4.08E-07,1.65E-06
WAVE,0.98,0.26309,0.25401,3.35E-07,1.43E-06
WAVE,1,0.26909,0.26545,3.01E-07,1.28E-06
,,,,,
,,,,,
ANGL,50,,,,
WAVE,0.3,0.14113,0.039096,1.56E-08,2.61E-07
WAVE,0.32,0.17504,0.01273,1.14E-08,1.95E-07
WAVE,0.34,0.19987,0.013987,1.00E-08,1.55E-07
WAVE,0.36,0.21698,0.022444,8.38E-09,1.27E-07
WAVE,0.38,0.23115,0.036107,7.47E-09,1.16E-07
WAVE,0.4,0.24965,0.04821,7.23E-09,1.01E-07
WAVE,0.42,0.26684,0.058196,6.10E-09,9.19E-08
WAVE,0.44,0.27961,0.065568,5.94E-09,8.29E-08
WAVE,0.46,0.28707,0.068999,5.58E-09,7.57E-08
WAVE,0.48,0.29034,0.068784,4.66E-09,7.04E-08
WAVE,0.5,0.28652,0.065663,4.41E-09,6.71E-08
WAVE,0.52,0.28191,0.064704,4.24E-09,6.45E-08
WAVE,0.54,0.27397,0.061178,4.26E-09,6.33E-08
WAVE,0.56,0.26634,0.064085,4.66E-09,6.14E-08
WAVE,0.58,0.25943,0.073582,4.87E-09,6.42E-08
WAVE,0.6,0.25539,0.087149,5.14E-09,6.92E-08
WAVE,0.62,0.2548,0.10384,5.42E-09,7.26E-08
WAVE,0.64,0.25913,0.12259,6.16E-09,7.59E-08
WAVE,0.66,0.26496,0.14148,6.75E-09,8.14E-08
WAVE,0.68,0.27194,0.15989,7.51E-09,8.31E-08
WAVE,0.7,0.2784,0.17646,7.58E-09,9.09E-08
WAVE,0.72,0.2843,0.19123,9.15E-09,9.79E-08
WAVE,0.74,0.28977,0.20313,1.22E-08,1.21E-07
WAVE,0.76,0.29436,0.2121,1.79E-08,1.72E-07
WAVE,0.78,0.2983,0.21932,2.58E-08,2.75E-07
WAVE,0.8,0.30062,0.22333,5.15E-08,4.71E-07
WAVE,0.82,0.3025,0.2278,8.62E-08,8.00E-07
WAVE,0.84,0.30511,0.23363,1.34E-07,1.30E-06
WAVE,0.86,0.30825,0.24066,2.18E-07,1.94E-06
WAVE,0.88,0.3115,0.24943,2.66E-07,2.73E-06
WAVE,0.9,0.31568,0.2613,3.15E-07,3.20E-06
WAVE,0.92,0.32067,0.27515,3.41E-07,3.43E-06
WAVE,0.94,0.32698,0.29266,3.22E-07,2.99E-06
WAVE,0.96,0.33316,0.30935,2.89E-07,2.61E-06
WAVE,0.98,0.3384,0.32341,2.23E-07,2.34E-06
WAVE,1,0.34382,0.33711,2.36E-07,2.03E-06
,,,,,
,,,,,
ANGL,60,,,,
WAVE,0.3,0.31997,0.053338,4.29E-09,2.22E-07
WAVE,0.32,0.34595,0.071136,3.37E-09,1.85E-07
WAVE,0.34,0.36365,0.088081,3.32E-09,1.64E-07
WAVE,0.36,0.37389,0.10034,3.14E-09,1.44E-07
WAVE,0.38,0.38346,0.11633,3.10E-09,1.36E-07
WAVE,0.4,0.3966,0.12543,2.68E-09,1.39E-07
WAVE,0.42,0.40828,0.13,2.39E-09,1.32E-07
WAVE,0.44,0.41592,0.13154,2.38E-09,1.28E-07
WAVE,0.46,0.41853,0.12905,2.19E-09,1.18E-07
WAVE,0.48,0.41726,0.12311,2.21E-09,1.08E-07
WAVE,0.5,0.40963,0.11631,2.32E-09,1.13E-07
WAVE,0.52,0.40212,0.11398,2.34E-09,1.04E-07
WAVE,0.54,0.39139,0.10966,2.41E-09,1.11E-07
WAVE,0.56,0.38236,0.11538,2.31E-09,1.15E-07
WAVE,0.58,0.37521,0.13026,2.36E-09,1.16E-07
WAVE,0.6,0.3712,0.14909,2.57E-09,1.32E-07
WAVE,0.62,0.37065,0.17024,2.97E-09,1.36E-07
WAVE,0.64,0.37485,0.19174,3.65E-09,1.37E-07
WAVE,0.66,0.38032,0.21237,4.19E-09,1.39E-07
WAVE,0.68,0.38671,0.23163,3.54E-09,1.57E-07
WAVE,0.7,0.39243,0.24817,4.85E-09,1.54E-07
WAVE,0.72,0.39747,0.26206,5.64E-09,1.70E-07
WAVE,0.74,0.40206,0.2718,5.61E-09,2.31E-07
WAVE,0.76,0.40578,0.27784,9.59E-09,3.01E-07
WAVE,0.78,0.40888,0.28193,1.38E-08,4.95E-07
WAVE,0.8,0.41044,0.28246,2.88E-08,8.05E-07
WAVE,0.82,0.41164,0.2853,4.16E-08,1.48E-06
WAVE,0.84,0.41359,0.2901,7.20E-08,2.26E-06
WAVE,0.86,0.41609,0.29694,1.35E-07,3.27E-06
WAVE,0.88,0.41871,0.3072,1.82E-07,4.41E-06
WAVE,0.9,0.4222,0.32198,2.11E-07,5.46E-06
WAVE,0.92,0.42646,0.33949,1.83E-07,6.21E-06
WAVE,0.94,0.43193,0.36199,1.72E-07,5.63E-06
WAVE,0.96,0.43726,0.38287,1.52E-07,4.97E-06
WAVE,0.98,0.4417,0.39932,1.24E-07,4.27E-06
WAVE,1,0.44631,0.41515,1.44E-07,3.58E-06
,,,,,
,,,,,
ANGL,70,,,,
WAVE,0.3,0.52411,0.2,1.14E-09,1.75E-07
WAVE,0.32,0.54203,0.22557,1.05E-09,1.67E-07
WAVE,0.34,0.55278,0.23849,9.75E-10,1.48E-07
WAVE,0.36,0.55723,0.243,1.02E-09,1.56E-07
WAVE,0.38,0.56224,0.2518,7.55E-10,1.77E-07
WAVE,0.4,0.5698,0.25111,7.49E-10,1.53E-07
WAVE,0.42,0.57612,0.24561,1.04E-09,1.66E-07
WAVE,0.44,0.57931,0.23803,7.27E-10,2.09E-07
WAVE,0.46,0.57843,0.22765,6.41E-10,1.68E-07
WAVE,0.48,0.57437,0.21514,8.93E-10,2.04E-07
WAVE,0.5,0.56525,0.20426,6.09E-10,2.11E-07
WAVE,0.52,0.55672,0.19947,6.02E-10,1.88E-07
WAVE,0.54,0.54539,0.19384,7.74E-10,1.65E-07
WAVE,0.56,0.53638,0.19953,6.41E-10,2.31E-07
WAVE,0.58,0.52975,0.21446,1.27E-09,1.99E-07
WAVE,0.6,0.52609,0.23222,7.69E-10,2.38E-07
WAVE,0.62,0.52549,0.25118,1.58E-09,2.28E-07
WAVE,0.64,0.52903,0.26884,1.71E-09,2.60E-07
WAVE,0.66,0.53355,0.28507,1.71E-09,2.34E-07
WAVE,0.68,0.53876,0.29945,1.65E-09,3.47E-07
WAVE,0.7,0.54328,0.31053,2.17E-09,2.68E-07
WAVE,0.72,0.54715,0.31826,1.70E-09,4.47E-07
WAVE,0.74,0.55061,0.32076,2.35E-09,3.58E-07
WAVE,0.76,0.5533,0.31954,3.84E-09,4.98E-07
WAVE,0.78,0.55547,0.31706,4.45E-09,1.20E-06
WAVE,0.8,0.55632,0.31141,1.51E-08,1.43E-06
WAVE,0.82,0.55691,0.31183,2.51E-08,2.64E-06
WAVE,0.84,0.5582,0.31525,2.21E-08,5.31E-06
WAVE,0.86,0.55999,0.32199,4.00E-08,5.27E-06
WAVE,0.88,0.56189,0.3348,4.39E-08,1.02E-05
WAVE,0.9,0.56453,0.3536,5.18E-08,1.03E-05
WAVE,0.92,0.56782,0.37586,6.17E-08,9.85E-06
WAVE,0.94,0.57213,0.40423,9.47E-08,8.35E-06
WAVE,0.96,0.5763,0.42974,4.74E-08,1.28E-05
WAVE,0.98,0.57971,0.44785,7.58E-08,8.01E-06
WAVE,1,0.58328,0.46512,4.42E-08,6.03E-06
,,,,,
,,,,,
ANGL,80,,,,
WAVE,0.3,0.74561,0.48292,1.33E-10,7.79E-08
WAVE,0.32,0.75567,0.4943,6.26E-11,4.35E-08
WAVE,0.34,0.76084,0.49234,1.78E-10,1.21E-07
