0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.3,NaN,NaN,NaN,NaN
0.32,NaN,NaN,NaN,NaN
0.34,NaN,NaN,NaN,NaN
0.36,0.1927,0.1927,3.2728e-14,3.2728e-14
0.38,0.13834,0.13834,2.6822e-14,2.6822e-14
0.4,0.091459,0.091459,2.031e-14,2.031e-14
0.42,0.065186,0.065186,1.5859e-14,1.5859e-14
0.44,0.052484,0.052484,1.271e-14,1.271e-14
0.46,0.046827,0.046827,1.043e-14,1.043e-14
0.48,0.044386,0.044386,8.5348e-15,8.5348e-15
0.5,0.043712,0.043712,7.4809e-15,7.4809e-15
0.52,0.043874,0.043874,6.5824e-15,6.5824e-15
0.54,0.043937,0.043937,6.0354e-15,6.0354e-15
0.56,0.045123,0.045123,5.6603e-15,5.6603e-15
0.58,0.048667,0.048667,5.8179e-15,5.8179e-15
0.6,0.054827,0.054827,6.242e-15,6.242e-15
0.62,0.063578,0.063578,6.6244e-15,6.6244e-15
0.64,0.074786,0.074786,7.2769e-15,7.2769e-15
0.66,0.087224,0.087224,8.0612e-15,8.0612e-15
0.68,0.10013,0.10013,8.6183e-15,8.6183e-15
0.7,0.11293,0.11293,9.7938e-15,9.7938e-15
0.72,0.12499,0.12499,1.1836e-14,1.1836e-14
0.74,0.13588,0.13588,1.8473e-14,1.8473e-14
0.76,0.14469,0.14469,3.7904e-14,3.7904e-14
0.78,0.15276,0.15276,9.4558e-14,9.4558e-14
0.8,0.15989,0.15989,2.7804e-13,2.7804e-13
0.82,0.16568,0.16568,7.6322e-13,7.6322e-13
0.84,0.1726,0.1726,1.8596e-12,1.8596e-12
0.86,0.1821,0.1821,3.9531e-12,3.9531e-12
0.88,0.19027,0.19027,7.0686e-12,7.0686e-12
0.9,0.20124,0.20124,9.2068e-12,9.2068e-12
0.92,0.21257,0.21257,9.843e-12,9.843e-12
0.94,0.22652,0.22652,7.6382e-12,7.6382e-12
0.96,0.23912,0.23912,5.7591e-12,5.7591e-12
0.98,0.25151,0.25151,4.3934e-12,4.3934e-12
1,0.25937,0.25937,3.665e-12,3.665e-12
10,10,10,10,10
10,10,10,10,10
10,10,10,10,10
0.3,NaN,NaN,NaN,NaN
0.32,NaN,NaN,NaN,NaN
0.34,NaN,NaN,NaN,NaN
0.36,0.18141,0.18552,3.0506e-14,3.0506e-14
0.38,0.13066,0.13294,2.5081e-14,2.5081e-14
0.4,0.08804,0.088348,1.9057e-14,1.9057e-14
0.42,0.06442,0.063329,1.4935e-14,1.4935e-14
0.44,0.053127,0.051096,1.2016e-14,1.2016e-14
0.46,0.048263,0.045599,9.8947e-15,9.8947e-15
0.48,0.046247,0.04314,8.123e-15,8.123e-15
0.5,0.045794,0.042468,7.1404e-15,7.1404e-15
0.52,0.04609,0.042651,6.2985e-15,6.2985e-15
0.54,0.04616,0.042683,5.7885e-15,5.7885e-15
0.56,0.047401,0.043995,5.4394e-15,5.4394e-15
0.58,0.050927,0.047719,5.601e-15,5.601e-15
0.6,0.057185,0.05422,6.018e-15,6.018e-15
0.62,0.066319,0.063606,6.3929e-15,6.3929e-15
0.64,0.077507,0.07502,7.0314e-15,7.0314e-15
0.66,0.090117,0.087855,7.7961e-15,7.7961e-15
0.68,0.10313,0.10106,8.3424e-15,8.3424e-15
0.7,0.11573,0.11386,9.4914e-15,9.4914e-15
0.72,0.12836,0.12663,1.1472e-14,1.1472e-14
0.74,0.1387,0.13709,1.7928e-14,1.7928e-14
0.76,0.14735,0.14585,3.683e-14,3.683e-14
0.78,0.15606,0.15462,9.1878e-14,9.1878e-14
0.8,0.16245,0.16104,2.7052e-13,2.7052e-13
0.82,0.16907,0.16771,7.4175e-13,7.4175e-13
0.84,0.17626,0.17498,1.8069e-12,1.8069e-12
0.86,0.18443,0.18325,3.8494e-12,3.8494e-12
0.88,0.19387,0.1928,6.8735e-12,6.8735e-12
0.9,0.20352,0.20266,8.9672e-12,8.9672e-12
0.92,0.21658,0.21587,9.5668e-12,9.5668e-12
0.94,0.22942,0.22896,7.4354e-12,7.4354e-12
0.96,0.24266,0.24239,5.6033e-12,5.6033e-12
0.98,0.25414,0.25404,4.2804e-12,4.2804e-12
1,0.26328,0.26327,3.5647e-12,3.5647e-12
20,20,20,20,20
20,20,20,20,20
20,20,20,20,20
0.3,NaN,NaN,NaN,NaN
0.32,NaN,NaN,NaN,NaN
0.34,NaN,NaN,NaN,NaN
0.36,0.15164,0.16423,2.4815e-14,2.4815e-14
0.38,0.11331,0.11913,2.0541e-14,2.0541e-14
0.4,0.080709,0.079476,1.5801e-14,1.5801e-14
0.42,0.063626,0.05743,1.2527e-14,1.2527e-14
0.44,0.056296,0.046782,1.0188e-14,1.0188e-14
0.46,0.053812,0.042097,8.4724e-15,8.4724e-15
0.48,0.053118,0.039892,7.018e-15,7.018e-15
0.5,0.053103,0.039043,6.2207e-15,6.2207e-15
0.52,0.053711,0.039298,5.527e-15,5.527e-15
0.54,0.053766,0.039256,5.1131e-15,5.1131e-15
0.56,0.055027,0.040891,4.8327e-15,4.8327e-15
0.58,0.058904,0.04556,4.9997e-15,4.9997e-15
0.6,0.065271,0.052968,5.3952e-15,5.3952e-15
0.62,0.074834,0.063546,5.7512e-15,5.7512e-15
0.64,0.086279,0.075958,6.3458e-15,6.3458e-15
0.66,0.099067,0.089635,7.0568e-15,7.0568e-15
0.68,0.11215,0.10362,7.5719e-15,7.5719e-15
0.7,0.1253,0.11748,8.6322e-15,8.6322e-15
0.72,0.13757,0.1304,1.0463e-14,1.0463e-14
0.74,0.14805,0.14137,1.639e-14,1.639e-14
0.76,0.15708,0.15078,3.3715e-14,3.3715e-14
